,left_mean,left_stddev,right_mean,right_stddev
30,1813.053319,11.49282098,1692.041655,12.10105312
160,59.63399056,4.919902877,89.37933907,5.501207515
200,42.02749236,4.318187578,58.91780061,4.688154961
140,77.59344626,5.256445919,114.3251874,6.195971036
180,50.84087753,4.723752711,74.43876701,5.223843522
300,21.50958067,4.033743762,33.24632047,4.233153334
450,12.54040544,3.670920677,18.01777284,3.594009775
100,159.9269647,6.862089731,232.063038,7.7899631
50,765.282977,9.993840415,902.2654818,10.30331931
90,207.2199389,7.607558529,292.8586504,8.529182797
70,341.5765065,8.70965576,453.883088,9.274543715
120,107.5354068,6.119362159,162.2527076,7.063915268
500,11.39350181,4.285097171,15.47431269,4.399364661
20,2581.289364,14.23825522,1891.55429,11.78150193
400,14.89336295,3.673367036,21.5220772,3.747387789
40,1217.050542,10.79380997,1286.938073,10.74480741
80,260.7481255,8.218721005,360.7658984,9.070980168
350,17.61816162,3.924565518,26.60261039,3.921533695
250,29.14023882,4.198484495,42.49153013,4.456019389
60,479.267148,9.51155735,611.2738128,9.97104169
